id,block_number,block_timestamp,transaction_hash,event_name,owner,token_id,domain_name
0003534407-000011-9926f,3534407,2023-09-04T20:09:21.000Z,0x7f4c734a42380080ef91448632bcbfe708bb3e883bfe9dffb617ddb393e0d10c,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,0,baseid.base
0003534448-000047-4cf4b,3534448,2023-09-04T20:10:43.000Z,0xd6c07f6e70471d642cf24dc73f392b32157d744c35e740c3ee8e01b35599fb3b,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,1,base.base
0003534498-000123-5dade,3534498,2023-09-04T20:12:23.000Z,0x728200440df2dccc39f2600e08992c42bf33bcbae9c9180c041a4840dc1512a8,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,2,eth.base
0003534507-000084-f81e2,3534507,2023-09-04T20:12:41.000Z,0x9a15b56d4b61c4de72c5da0f5953722fbbe0f555e08d0aa33c63fada5981cf6b,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,3,bsc.base
0003534852-000015-25c69,3534852,2023-09-04T20:24:11.000Z,0xef3cf4b0643a41b46569e100e7156419c5bc613937fa57d15f4c5dc0f45956e8,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,4,0xeth.base
0003534979-000013-32e06,3534979,2023-09-04T20:28:25.000Z,0x6080d3a0078988fb9c055556953508dea0571f8b1016d43b7e626bbe60e603fc,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,5,paradigm.base
0003535043-000003-d0dc0,3535043,2023-09-04T20:30:33.000Z,0xcf810546649b8c87aaaec82636905fb4d8a0c3a7a641b826f63672875f49f79d,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,6,opensea.base
0003535068-000101-b4619,3535068,2023-09-04T20:31:23.000Z,0x0a9f3dbeb99f04fa356b217d63c9b9ae6b37278c76c8502564910b048f8656b5,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,7,000.base
0003535092-000009-d451d,3535092,2023-09-04T20:32:11.000Z,0x766e94e12bacf15760d1a6ada56afa504d56070eeb133531d82566319961a877,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,8,porno.base
0003535592-000009-c6bae,3535592,2023-09-04T20:48:51.000Z,0x9bcaf27b5c501724219a42d2a4430b9138f83c6563dde7fedd4f534b82b88ca2,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,9,ape.base
0003538245-000019-82d7e,3538245,2023-09-04T22:17:17.000Z,0xb02a84a7c92387ba0317b988360883908c863afc7c45ea1f1fe637fe25956841,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,10,god.base
0003538269-000017-e0f7e,3538269,2023-09-04T22:18:05.000Z,0x0f09b52f6d1464908c68fdcd2c0c212aa452dbf7aeb3667d7fd4045bc7a98275,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,11,dev.base
0003538275-000002-5e3a9,3538275,2023-09-04T22:18:17.000Z,0x2f7f2394ae515b82e6a51379e067851f47bed010e6303eb70efc4a8c497287a8,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,12,binance.base
0003538303-000009-c8fcd,3538303,2023-09-04T22:19:13.000Z,0x148d7bbb647162ff42e303fe2401dfed3ac773f10eee8d2ba1640a194c2b08e0,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,13,bitcoin.base
0003538391-000022-4a7d1,3538391,2023-09-04T22:22:09.000Z,0x0a91ed5b800a2a7f06df0c8afcbeba611772edbf3bdecd21fed563161a2eee8d,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,14,btc.base
0003586072-000009-a02d3,3586072,2023-09-06T00:51:31.000Z,0xc11cff38eaad1a5ed4112d054176fcb11108262a09c5fe8424f7198c037bb219,DomainRegistered,0x7ECf0631808f6d4F2cEa34C4108B4140429c7C01,15,sbf.base
0003586095-000003-e8375,3586095,2023-09-06T00:52:17.000Z,0x14658e59ef72946ca4c85f5c6431e8b0e0a13a58def53dc7d26a0fc6c3939a18,DomainRegistered,0x7ECf0631808f6d4F2cEa34C4108B4140429c7C01,16,vitalik.base
0003607141-000024-f703c,3607141,2023-09-06T12:33:49.000Z,0x54c68f0a33563ddc0fa004d0a84c8cdca88dc5d4a1ef9bf9fae5861ea26176e1,DomainRegistered,0xeE1893AccB9BBB0CB41Bcf90C8BA214fc22EA4cd,17,coinbase.base
